Study_Hours,Attendance_%,Sleep_Hours,Parental_Education,Internet_Access,Extra_Tuition,Previous_Score,Final_Score
2.8863055324025577,77.16942076057687,5.095344045509289,High,Yes,Yes,35.58375657212686,78.86369481369758
1.6068137325955567,64.41447764337224,7.5131688654275814,Low,Yes,Yes,76.75685676851963,91.71979323439005
3.567533266935893,66.44576481629369,6.484817414529151,Low,Yes,No,36.729654615706764,90.37593167808994
5.5543170560262745,99.78003496340452,6.636998110613382,High,Yes,No,49.77109797007196,100.0
1.4092422497476265,49.31441475584275,5.042552571786679,Medium,No,No,76.11206197907642,80.02316080473494
2.093493233367103,70.43408852130355,6.703492383224551,Medium,Yes,Yes,32.34713211940016,71.05275728370876
6.350936508676438,87.8455612964157,6.200994989777453,Medium,Yes,Yes,54.80500170533785,100.0
4.55656752785713,63.815396572095764,7.8780592546266375,Low,Yes,Yes,60.85791702370916,100.0
1.5167487973275118,61.20528275816309,4.0585330536545206,High,No,No,34.68167048042184,58.596606794799456
0.11353644767419069,52.0314836020202,6.311477805003036,Low,Yes,Yes,39.255762223231855,50.611361456753755
5.426960831582485,73.57841987849307,8.257124788725479,Low,No,Yes,79.21192238180393,100.0
4.655980181324601,76.80468335264246,4.046658099135467,Medium,Yes,No,28.33528604990093,78.23944810188009
4.474123668234546,41.798415392360674,6.966107850536922,High,Yes,Yes,30.72206582005641,88.1771937449585
8.021969807540398,50.91568782971627,8.65297607321958,Low,Yes,Yes,62.094175855619305,100.0
6.117207462343522,64.50719278424192,6.404864449430619,Low,Yes,Yes,68.9069796411238,100.0
9.307573256035647,92.29220836914257,7.284775781335698,Medium,Yes,No,39.02266666355287,100.0
0.15456616528867428,93.15866489417124,8.715379188723539,Medium,No,No,34.583573332376645,79.26598186120768
0.23271935735825866,46.4188383296175,6.148284063694676,High,No,No,21.851311791843845,38.30483462812861
0.39312139841098936,52.350472602206096,7.769809517983919,High,Yes,No,34.955869831890126,53.427651771313876
4.148195023376652,50.927074941321955,7.173356366269707,Low,No,No,85.44913041320416,100.0
6.459172413316012,52.94050914386303,5.584732938955597,Low,Yes,No,59.36749900443787,100.0
8.647223762550531,69.89174298718834,6.137448439603076,Medium,Yes,Yes,20.013989612799733,100.0
3.70472102791382,42.494371543023526,4.482672350977204,Medium,No,Yes,51.134370465104084,80.27762279908947
1.8123306616566015,96.06616160833086,7.570163222334282,Medium,No,Yes,33.591917078728216,81.57417165116073
3.881699262065219,89.54900503388576,4.591680954616937,Low,Yes,Yes,50.853092855944205,97.46131157197404
6.075448519014383,53.47628937639892,7.78081664447623,High,Yes,Yes,71.16148711712262,100.0
6.150072266991698,92.42062685118032,7.882237232498623,High,Yes,Yes,85.2975411112618,100.0
2.4247050363472966,82.2808457641988,4.926650897643572,Medium,Yes,No,38.312120653711474,77.51176146878979
3.8389122137321143,88.35955298650948,7.393349783362824,Low,No,No,38.28514532826347,87.809320508051
5.139894891598108,98.28370564249838,7.431635983430487,Low,Yes,Yes,57.686815762019904,100.0
2.3724908749680007,95.51489904493995,8.839300174225151,Low,No,Yes,25.760558080196095,75.25778453858749
3.5846572854427263,41.62575955020901,4.867622574932543,Low,No,No,36.36949045202971,68.71340035644256
4.921162930795382,61.55400216398594,7.470752867549155,High,No,Yes,70.8868376487936,100.0
8.77472013527053,95.92168633060105,6.414844360426776,High,No,Yes,84.72567845504202,100.0
4.4015249373960135,77.93585727517183,8.635004839621477,Low,Yes,No,36.343153118901014,93.97027414479042
3.663618432936917,63.8901216154566,8.7881264225269,Medium,No,Yes,90.51656041784638,100.0
5.07610378684455,53.63617763578909,5.034962892192134,Low,Yes,Yes,56.78063893891349,100.0
7.508710677914974,84.97910990457548,4.285273605756272,Medium,Yes,No,89.3215303095996,100.0
9.321182824836123,56.44963999358835,4.772298736116619,Low,Yes,Yes,32.346538492737864,100.0
3.0137787416414206,46.41261538568463,4.355038322666277,Low,Yes,Yes,74.81597174916558,89.19591483344627
9.717820827209607,74.59098853085521,6.070648762644636,Low,No,Yes,22.186638951656676,100.0
2.944488920695857,92.48210036105196,5.4295339461958,Low,Yes,Yes,39.45413005573972,81.91294675009863
6.451727904094499,41.87098810367708,7.934516931276475,Low,No,No,87.61872539653007,100.0
2.7993389694594284,88.57096448349269,5.777465052206787,Low,No,Yes,39.01880877472769,75.18227372585508
4.739616402628723,89.73300195295657,6.235277719032127,Medium,No,No,20.968042098574397,91.98897897405708
4.686931597949703,60.213747506266415,7.339599994018135,High,Yes,No,90.57861950287828,100.0
4.944203047025814,96.61695521005593,4.261289396430119,Low,No,Yes,81.145724831792,100.0
6.675577385210271,65.85325141970836,6.301791356009631,Medium,Yes,No,37.001798905619275,100.0
1.206358711006008,79.8282716573083,7.699520603834651,Low,No,No,54.44985806004071,90.81810557770532
7.689874151805105,98.487589728807,7.596768111845793,Low,Yes,Yes,54.15373516104557,100.0
7.407686177542044,84.25493809533349,8.686940332485594,High,No,No,61.45717760251873,100.0
0.7697990982879299,62.78154449003601,7.251005461990767,High,Yes,No,43.38516027168265,63.40708594226541
2.459577283845081,98.63045105327905,6.958485811531627,Medium,Yes,Yes,79.73632919971855,100.0
1.2706051265188478,53.84018870306552,6.7754247465114315,Medium,Yes,No,69.22893945385755,77.51041258432662
8.554605840110073,91.07241484292612,5.3491036006410715,Medium,Yes,Yes,30.131010966932052,100.0
1.9579113478929644,40.383152303010014,5.672556443709661,Low,No,No,70.46353501164086,80.1440240809931
9.860010638228708,47.87469266094325,4.338341809500008,Medium,Yes,No,43.87280710192605,100.0
1.1607264050691624,53.21099211698868,7.017438332982274,Low,Yes,No,41.58734741387044,72.34935150110127
8.870864242651173,97.01424122924814,4.356283638826293,High,Yes,Yes,24.926908736724442,100.0
0.40775141554763916,73.98427841781384,5.879441425728847,High,Yes,Yes,77.60961337856617,80.26448132005672
6.957486889846171,82.14789823264624,4.32602295630246,High,Yes,Yes,42.174877945371435,100.0
7.4112064929005905,46.08524970695299,5.546863589313911,Low,No,Yes,86.76035400851855,100.0
1.2758030279556376,95.85692173041866,6.858861760241611,High,Yes,Yes,78.33584333438381,96.72766439624867
5.163003483011953,63.77452113415953,8.790367400596901,High,Yes,Yes,58.03118180452,100.0
5.026370931051921,75.77619270892319,7.009407948181611,High,Yes,Yes,78.62116093972993,100.0
0.9120610304869037,65.94008806255611,8.68411231016546,Medium,No,No,26.907406564969236,57.14824309879138
1.8485445552552704,75.72310103920262,7.543723488714882,Low,Yes,No,26.20505297177531,75.23738760506915
4.008514167636399,64.25912608625752,7.005370834001164,Medium,No,Yes,29.12714800450042,75.34381435496887
5.8577558127346325,92.85224555193571,6.10624026647036,Low,No,Yes,94.76819139420165,100.0
7.29606178338064,79.16476647111247,8.613785952566971,High,Yes,Yes,87.19131358944946,100.0
3.5816271803284048,65.52960006688451,8.108184488552357,Medium,Yes,No,32.19034906015309,78.51748175034342
9.004180571633304,56.32870823379776,6.561109604063372,Low,Yes,Yes,94.82171166885391,100.0
8.721239089441514,74.70321502038455,5.729387303689287,Low,Yes,No,44.556571905008596,100.0
9.488855372533333,50.5832191903734,7.977249803948646,High,No,Yes,75.04123481019059,100.0
1.7052412368729153,67.1463709679616,5.737857621194911,Medium,Yes,No,91.2424751184557,98.78948921932556
7.798755458576238,66.76034637747735,4.060542376174437,High,No,Yes,86.53394879177738,100.0
3.8610263780077423,89.07802144714373,6.938846804310991,High,No,Yes,83.1511746130058,100.0
0.4544638034145787,45.27198994869,4.527368499783153,Medium,No,Yes,64.89463305535031,60.45814548028259
8.967884099060118,60.22019058587718,4.554947346067405,Medium,No,Yes,85.54062166407638,100.0
9.041586944937483,50.78098653221452,7.38088781037717,Medium,Yes,Yes,43.934261736534694,100.0
3.5091501255207866,99.0386588775897,5.282650312221239,Low,No,Yes,80.91935907427563,100.0
7.030189588951778,94.85792839362995,4.973112559103825,Medium,Yes,No,41.60040094430309,100.0
0.05522117123602399,78.63997259434095,8.340283450537251,Medium,Yes,No,78.65380769478188,90.0903303700515
0.7404465173409036,79.53543651460907,6.014900893825807,Low,No,No,59.26898639160897,80.96676875059924
9.327284833540133,72.85554256922418,4.921124196190131,Low,Yes,Yes,61.28538328272054,100.0
3.4569599350391944,69.80601153155015,6.154926102566481,High,Yes,No,39.020957814478116,86.72969876983686
5.833917947661204,81.70867324285562,5.855862117188138,Low,No,Yes,57.08908438403059,100.0
5.015162946871996,65.66638802415174,6.711186027459242,High,No,No,32.84712183662528,81.46002994930174
6.432882184423532,47.73219204840671,6.049524448481441,Low,Yes,No,29.478981680425033,95.05704416504328
5.227328293819941,57.588863815660794,4.129059534747435,High,No,No,33.70042881797511,90.26938244528844
3.220791655831783,45.6340429473651,4.173351333632416,Low,Yes,Yes,91.43114794974827,100.0
9.29529144247826,40.45377249868853,4.657445599489908,Medium,No,No,80.78511629115995,100.0
3.379951568515358,45.36466013873557,8.366614579304038,High,No,No,93.20245239501529,100.0
